Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105
The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52
The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103
The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22
The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52
The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103
The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22
The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-22,83636364",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-22,83636364",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-22,83636364",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-22,83636364",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-22,83636364",23.53
The Miracle Morning,Hal Elrod,"-23,03030303",21.39,The Miracle Morning,Hal Elrod,"-23,03030303",21.39,The Miracle Morning,Hal Elrod,"-23,03030303",21.39,The Miracle Morning,Hal Elrod,"-23,03030303",21.39,The Miracle Morning,Hal Elrod,"-23,03030303",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-23,22424242",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-23,22424242",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-23,22424242",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-23,22424242",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-23,22424242",12.104
The ONE Thing,Gary Keller,"-23,41818182",11.23,The ONE Thing,Gary Keller,"-23,41818182",11.23,The ONE Thing,Gary Keller,"-23,41818182",11.23,The ONE Thing,Gary Keller,"-23,41818182",11.23,The ONE Thing,Gary Keller,"-23,41818182",11.23
The Compound Effect,Darren Hardy,"-23,61212121",9.53,The Compound Effect,Darren Hardy,"-23,61212121",9.53,The Compound Effect,Darren Hardy,"-23,61212121",9.53,The Compound Effect,Darren Hardy,"-23,61212121",9.53,The Compound Effect,Darren Hardy,"-23,61212121",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-23,80606061",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-23,80606061",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-23,80606061",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-23,80606061",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-23,80606061",23.53
The Miracle Morning,Hal Elrod,-24,21.39,The Miracle Morning,Hal Elrod,-24,21.39,The Miracle Morning,Hal Elrod,-24,21.39,The Miracle Morning,Hal Elrod,-24,21.39,The Miracle Morning,Hal Elrod,-24,21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-24,19393939",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-24,19393939",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-24,19393939",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-24,19393939",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-24,19393939",12.104
The ONE Thing,Gary Keller,"-24,38787879",11.23,The ONE Thing,Gary Keller,"-24,38787879",11.23,The ONE Thing,Gary Keller,"-24,38787879",11.23,The ONE Thing,Gary Keller,"-24,38787879",11.23,The ONE Thing,Gary Keller,"-24,38787879",11.23
The Compound Effect,Darren Hardy,"-24,58181818",9.54,The Compound Effect,Darren Hardy,"-24,58181818",9.54,The Compound Effect,Darren Hardy,"-24,58181818",9.54,The Compound Effect,Darren Hardy,"-24,58181818",9.54,The Compound Effect,Darren Hardy,"-24,58181818",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-24,77575758",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-24,77575758",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-24,77575758",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-24,77575758",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-24,77575758",23.54
The Miracle Morning,Hal Elrod,"-24,96969697",21.40,The Miracle Morning,Hal Elrod,"-24,96969697",21.40,The Miracle Morning,Hal Elrod,"-24,96969697",21.40,The Miracle Morning,Hal Elrod,"-24,96969697",21.40,The Miracle Morning,Hal Elrod,"-24,96969697",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-25,16363636",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-25,16363636",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-25,16363636",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-25,16363636",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-25,16363636",12.105
The ONE Thing,Gary Keller,"-25,35757576",11.24,The ONE Thing,Gary Keller,"-25,35757576",11.24,The ONE Thing,Gary Keller,"-25,35757576",11.24,The ONE Thing,Gary Keller,"-25,35757576",11.24,The ONE Thing,Gary Keller,"-25,35757576",11.24
The Compound Effect,Darren Hardy,"-25,55151515",9.54,The Compound Effect,Darren Hardy,"-25,55151515",9.54,The Compound Effect,Darren Hardy,"-25,55151515",9.54,The Compound Effect,Darren Hardy,"-25,55151515",9.54,The Compound Effect,Darren Hardy,"-25,55151515",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-25,74545455",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-25,74545455",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-25,74545455",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-25,74545455",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-25,74545455",23.54
The Miracle Morning,Hal Elrod,"-25,93939394",21.40,The Miracle Morning,Hal Elrod,"-25,93939394",21.40,The Miracle Morning,Hal Elrod,"-25,93939394",21.40,The Miracle Morning,Hal Elrod,"-25,93939394",21.40,The Miracle Morning,Hal Elrod,"-25,93939394",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-26,13333333",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-26,13333333",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-26,13333333",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-26,13333333",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-26,13333333",12.105
The ONE Thing,Gary Keller,"-26,32727273",11.24,The ONE Thing,Gary Keller,"-26,32727273",11.24,The ONE Thing,Gary Keller,"-26,32727273",11.24,The ONE Thing,Gary Keller,"-26,32727273",11.24,The ONE Thing,Gary Keller,"-26,32727273",11.24
The Compound Effect,Darren Hardy,"-26,52121212",9.55,The Compound Effect,Darren Hardy,"-26,52121212",9.55,The Compound Effect,Darren Hardy,"-26,52121212",9.55,The Compound Effect,Darren Hardy,"-26,52121212",9.55,The Compound Effect,Darren Hardy,"-26,52121212",9.55
The 7 Habits of Highly Effective People,Stephen R. Covey,"-26,71515152",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-26,71515152",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-26,71515152",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-26,71515152",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-26,71515152",23.55
The Miracle Morning,Hal Elrod,"-26,90909091",21.41,The Miracle Morning,Hal Elrod,"-26,90909091",21.41,The Miracle Morning,Hal Elrod,"-26,90909091",21.41,The Miracle Morning,Hal Elrod,"-26,90909091",21.41,The Miracle Morning,Hal Elrod,"-26,90909091",21.41
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,1030303",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,1030303",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,1030303",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,1030303",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,1030303",12.106
The Compound Effect,Darren Hardy,"-27,2969697",9.53,The Compound Effect,Darren Hardy,"-27,2969697",9.53,The Compound Effect,Darren Hardy,"-27,2969697",9.53,The Compound Effect,Darren Hardy,"-27,2969697",9.53,The Compound Effect,Darren Hardy,"-27,2969697",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-27,49090909",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-27,49090909",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-27,49090909",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-27,49090909",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-27,49090909",23.53
The Miracle Morning,Hal Elrod,"-27,68484848",21.39,The Miracle Morning,Hal Elrod,"-27,68484848",21.39,The Miracle Morning,Hal Elrod,"-27,68484848",21.39,The Miracle Morning,Hal Elrod,"-27,68484848",21.39,The Miracle Morning,Hal Elrod,"-27,68484848",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,87878788",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,87878788",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,87878788",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,87878788",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-27,87878788",12.104
The ONE Thing,Gary Keller,"-28,07272727",11.23,The ONE Thing,Gary Keller,"-28,07272727",11.23,The ONE Thing,Gary Keller,"-28,07272727",11.23,The ONE Thing,Gary Keller,"-28,07272727",11.23,The ONE Thing,Gary Keller,"-28,07272727",11.23
The Compound Effect,Darren Hardy,"-28,26666667",9.53,The Compound Effect,Darren Hardy,"-28,26666667",9.53,The Compound Effect,Darren Hardy,"-28,26666667",9.53,The Compound Effect,Darren Hardy,"-28,26666667",9.53,The Compound Effect,Darren Hardy,"-28,26666667",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-28,46060606",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-28,46060606",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-28,46060606",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-28,46060606",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-28,46060606",23.53
The Miracle Morning,Hal Elrod,"-28,65454545",21.39,The Miracle Morning,Hal Elrod,"-28,65454545",21.39,The Miracle Morning,Hal Elrod,"-28,65454545",21.39,The Miracle Morning,Hal Elrod,"-28,65454545",21.39,The Miracle Morning,Hal Elrod,"-28,65454545",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-28,84848485",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-28,84848485",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-28,84848485",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-28,84848485",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-28,84848485",12.104
The ONE Thing,Gary Keller,"-29,04242424",11.23,The ONE Thing,Gary Keller,"-29,04242424",11.23,The ONE Thing,Gary Keller,"-29,04242424",11.23,The ONE Thing,Gary Keller,"-29,04242424",11.23,The ONE Thing,Gary Keller,"-29,04242424",11.23
The Compound Effect,Darren Hardy,"-29,23636364",9.54,The Compound Effect,Darren Hardy,"-29,23636364",9.54,The Compound Effect,Darren Hardy,"-29,23636364",9.54,The Compound Effect,Darren Hardy,"-29,23636364",9.54,The Compound Effect,Darren Hardy,"-29,23636364",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-29,43030303",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-29,43030303",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-29,43030303",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-29,43030303",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-29,43030303",23.54
The Miracle Morning,Hal Elrod,"-29,62424242",21.40,The Miracle Morning,Hal Elrod,"-29,62424242",21.40,The Miracle Morning,Hal Elrod,"-29,62424242",21.40,The Miracle Morning,Hal Elrod,"-29,62424242",21.40,The Miracle Morning,Hal Elrod,"-29,62424242",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-29,81818182",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-29,81818182",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-29,81818182",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-29,81818182",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-29,81818182",12.105
The ONE Thing,Gary Keller,"-30,01212121",11.24,The ONE Thing,Gary Keller,"-30,01212121",11.24,The ONE Thing,Gary Keller,"-30,01212121",11.24,The ONE Thing,Gary Keller,"-30,01212121",11.24,The ONE Thing,Gary Keller,"-30,01212121",11.24
The Compound Effect,Darren Hardy,"-30,20606061",9.54,The Compound Effect,Darren Hardy,"-30,20606061",9.54,The Compound Effect,Darren Hardy,"-30,20606061",9.54,The Compound Effect,Darren Hardy,"-30,20606061",9.54,The Compound Effect,Darren Hardy,"-30,20606061",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-30,4",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-30,4",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-30,4",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-30,4",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-30,4",23.54
The Miracle Morning,Hal Elrod,"-30,59393939",21.40,The Miracle Morning,Hal Elrod,"-30,59393939",21.40,The Miracle Morning,Hal Elrod,"-30,59393939",21.40,The Miracle Morning,Hal Elrod,"-30,59393939",21.40,The Miracle Morning,Hal Elrod,"-30,59393939",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-30,78787879",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-30,78787879",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-30,78787879",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-30,78787879",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-30,78787879",12.105
The ONE Thing,Gary Keller,"-30,98181818",11.24,The ONE Thing,Gary Keller,"-30,98181818",11.24,The ONE Thing,Gary Keller,"-30,98181818",11.24,The ONE Thing,Gary Keller,"-30,98181818",11.24,The ONE Thing,Gary Keller,"-30,98181818",11.24
The Compound Effect,Darren Hardy,"-31,17575758",9.55,The Compound Effect,Darren Hardy,"-31,17575758",9.55,The Compound Effect,Darren Hardy,"-31,17575758",9.55,The Compound Effect,Darren Hardy,"-31,17575758",9.55,The Compound Effect,Darren Hardy,"-31,17575758",9.55
The 7 Habits of Highly Effective People,Stephen R. Covey,"-31,36969697",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-31,36969697",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-31,36969697",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-31,36969697",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-31,36969697",23.55
The Miracle Morning,Hal Elrod,"-31,56363636",21.41,The Miracle Morning,Hal Elrod,"-31,56363636",21.41,The Miracle Morning,Hal Elrod,"-31,56363636",21.41,The Miracle Morning,Hal Elrod,"-31,56363636",21.41,The Miracle Morning,Hal Elrod,"-31,56363636",21.41
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-31,75757576",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-31,75757576",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-31,75757576",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-31,75757576",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-31,75757576",12.106
The ONE Thing,Gary Keller,"-31,95151515",11.25,The ONE Thing,Gary Keller,"-31,95151515",11.25,The ONE Thing,Gary Keller,"-31,95151515",11.25,The ONE Thing,Gary Keller,"-31,95151515",11.25,The ONE Thing,Gary Keller,"-31,95151515",11.25
The Compound Effect,Darren Hardy,"-32,14545455",9.55,The Compound Effect,Darren Hardy,"-32,14545455",9.55,The Compound Effect,Darren Hardy,"-32,14545455",9.55,The Compound Effect,Darren Hardy,"-32,14545455",9.55,The Compound Effect,Darren Hardy,"-32,14545455",9.55
The 7 Habits of Highly Effective People,Stephen R. Covey,"-32,33939394",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-32,33939394",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-32,33939394",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-32,33939394",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-32,33939394",23.55
The Miracle Morning,Hal Elrod,"-32,53333333",21.41,The Miracle Morning,Hal Elrod,"-32,53333333",21.41,The Miracle Morning,Hal Elrod,"-32,53333333",21.41,The Miracle Morning,Hal Elrod,"-32,53333333",21.41,The Miracle Morning,Hal Elrod,"-32,53333333",21.41
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-32,72727273",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-32,72727273",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-32,72727273",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-32,72727273",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-32,72727273",12.106
The ONE Thing,Gary Keller,"-32,92121212",11.25,The ONE Thing,Gary Keller,"-32,92121212",11.25,The ONE Thing,Gary Keller,"-32,92121212",11.25,The ONE Thing,Gary Keller,"-32,92121212",11.25,The ONE Thing,Gary Keller,"-32,92121212",11.25
The Compound Effect,Darren Hardy,"-33,11515152",9.56,The Compound Effect,Darren Hardy,"-33,11515152",9.56,The Compound Effect,Darren Hardy,"-33,11515152",9.56,The Compound Effect,Darren Hardy,"-33,11515152",9.56,The Compound Effect,Darren Hardy,"-33,11515152",9.56
The 7 Habits of Highly Effective People,Stephen R. Covey,"-33,30909091",23.56,The 7 Habits of Highly Effective People,Stephen R. Covey,"-33,30909091",23.56,The 7 Habits of Highly Effective People,Stephen R. Covey,"-33,30909091",23.56,The 7 Habits of Highly Effective People,Stephen R. Covey,"-33,30909091",23.56,The 7 Habits of Highly Effective People,Stephen R. Covey,"-33,30909091",23.56
The Miracle Morning,Hal Elrod,"-33,5030303",21.42,The Miracle Morning,Hal Elrod,"-33,5030303",21.42,The Miracle Morning,Hal Elrod,"-33,5030303",21.42,The Miracle Morning,Hal Elrod,"-33,5030303",21.42,The Miracle Morning,Hal Elrod,"-33,5030303",21.42
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-33,6969697",12.107,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-33,6969697",12.107,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-33,6969697",12.107,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-33,6969697",12.107,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-33,6969697",12.107
The Compound Effect,Darren Hardy,"-33,89090909",9.54,The Compound Effect,Darren Hardy,"-33,89090909",9.54,The Compound Effect,Darren Hardy,"-33,89090909",9.54,The Compound Effect,Darren Hardy,"-33,89090909",9.54,The Compound Effect,Darren Hardy,"-33,89090909",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-34,08484848",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-34,08484848",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-34,08484848",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-34,08484848",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-34,08484848",23.54
The Miracle Morning,Hal Elrod,"-34,27878788",21.40,The Miracle Morning,Hal Elrod,"-34,27878788",21.40,The Miracle Morning,Hal Elrod,"-34,27878788",21.40,The Miracle Morning,Hal Elrod,"-34,27878788",21.40,The Miracle Morning,Hal Elrod,"-34,27878788",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-34,47272727",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-34,47272727",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-34,47272727",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-34,47272727",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-34,47272727",12.105
The ONE Thing,Gary Keller,"-34,66666667",11.24,The ONE Thing,Gary Keller,"-34,66666667",11.24,The ONE Thing,Gary Keller,"-34,66666667",11.24,The ONE Thing,Gary Keller,"-34,66666667",11.24,The ONE Thing,Gary Keller,"-34,66666667",11.24
The Compound Effect,Darren Hardy,"-34,86060606",9.54,The Compound Effect,Darren Hardy,"-34,86060606",9.54,The Compound Effect,Darren Hardy,"-34,86060606",9.54,The Compound Effect,Darren Hardy,"-34,86060606",9.54,The Compound Effect,Darren Hardy,"-34,86060606",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-35,05454545",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-35,05454545",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-35,05454545",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-35,05454545",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-35,05454545",23.54
The Miracle Morning,Hal Elrod,"-35,24848485",21.40,The Miracle Morning,Hal Elrod,"-35,24848485",21.40,The Miracle Morning,Hal Elrod,"-35,24848485",21.40,The Miracle Morning,Hal Elrod,"-35,24848485",21.40,The Miracle Morning,Hal Elrod,"-35,24848485",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-35,44242424",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-35,44242424",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-35,44242424",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-35,44242424",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-35,44242424",12.105
The ONE Thing,Gary Keller,"-35,63636364",11.24,The ONE Thing,Gary Keller,"-35,63636364",11.24,The ONE Thing,Gary Keller,"-35,63636364",11.24,The ONE Thing,Gary Keller,"-35,63636364",11.24,The ONE Thing,Gary Keller,"-35,63636364",11.24
The Compound Effect,Darren Hardy,"-35,83030303",9.55,The Compound Effect,Darren Hardy,"-35,83030303",9.55,The Compound Effect,Darren Hardy,"-35,83030303",9.55,The Compound Effect,Darren Hardy,"-35,83030303",9.55,The Compound Effect,Darren Hardy,"-35,83030303",9.55
The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,02424242",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,02424242",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,02424242",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,02424242",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,02424242",23.55
The Miracle Morning,Hal Elrod,"-36,21818182",21.41,The Miracle Morning,Hal Elrod,"-36,21818182",21.41,The Miracle Morning,Hal Elrod,"-36,21818182",21.41,The Miracle Morning,Hal Elrod,"-36,21818182",21.41,The Miracle Morning,Hal Elrod,"-36,21818182",21.41
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-36,41212121",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-36,41212121",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-36,41212121",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-36,41212121",12.106,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-36,41212121",12.106
The ONE Thing,Gary Keller,"-36,60606061",11.25,The ONE Thing,Gary Keller,"-36,60606061",11.25,The ONE Thing,Gary Keller,"-36,60606061",11.25,The ONE Thing,Gary Keller,"-36,60606061",11.25,The ONE Thing,Gary Keller,"-36,60606061",11.25
The Compound Effect,Darren Hardy,"-36,8",9.55,The Compound Effect,Darren Hardy,"-36,8",9.55,The Compound Effect,Darren Hardy,"-36,8",9.55,The Compound Effect,Darren Hardy,"-36,8",9.55,The Compound Effect,Darren Hardy,"-36,8",9.55
The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,99393939",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,99393939",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,99393939",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,99393939",23.55,The 7 Habits of Highly Effective People,Stephen R. Covey,"-36,99393939",23.55
